subject,timestamp,marker,pupil_left,validity_left,pupil_right,validity_right,trial,time,event,pupil_left_old,pupil_right_old
42,1464956756080311,41,2.94775,0,3.02895,0,14,-3012.045,fixation,2.94775,3.02895
42,1464956756096935,41,2.97865,0,3.05241,0,14,-2995.4210000000003,fixation,2.97865,3.05241
42,1464956756113685,41,2.99203,0,3.00536,0,14,-2978.6710000000003,fixation,2.99203,3.00536
42,1464956756130308,41,2.95494,0,3.04041,0,14,-2962.0480000000002,fixation,2.95494,3.04041
42,1464956756146932,41,2.9789,0,2.99991,0,14,-2945.424,fixation,2.9789,2.99991
42,1464956756163556,41,3.02951,0,3.00624,0,14,-2928.8,fixation,3.02951,3.00624
42,1464956756180306,41,3.00826,0,3.03519,0,14,-2912.05,fixation,3.00826,3.03519
42,1464956756196929,41,3.01561,0,3.00363,0,14,-2895.427,fixation,3.01561,3.00363
42,1464956756213554,41,2.9906,0,3.05357,0,14,-2878.802,fixation,2.9906,3.05357
42,1464956756230178,41,3.02905,0,3.04411,0,14,-2862.178,fixation,3.02905,3.04411
42,1464956756246799,41,3.06248,0,3.04079,0,14,-2845.5570000000002,fixation,3.06248,3.04079
42,1464956756263548,41,3.00969,0,3.00754,0,14,-2828.808,fixation,3.00969,3.00754
42,1464956756280173,41,3.03183,0,3.05406,0,14,-2812.183,fixation,3.03183,3.05406
42,1464956756296802,41,3.05057,0,3.01442,0,14,-2795.554,fixation,3.05057,3.01442
42,1464956756313421,41,3.03719,0,3.04677,0,14,-2778.9350000000004,fixation,3.03719,3.04677
42,1464956756330176,41,3.03014,0,3.05811,0,14,-2762.1800000000003,fixation,3.03014,3.05811
42,1464956756346794,41,3.04837,0,3.03148,0,14,-2745.562,fixation,3.04837,3.03148
42,1464956756363417,41,3.04935,0,3.00496,0,14,-2728.9390000000003,fixation,3.04935,3.00496
42,1464956756380042,41,3.03017,0,3.04955,0,14,-2712.3140000000003,fixation,3.03017,3.04955
42,1464956756396665,41,3.02776,0,3.05664,0,14,-2695.6910000000003,fixation,3.02776,3.05664
42,1464956756413415,41,3.03923,0,3.04565,0,14,-2678.9410000000003,fixation,3.03923,3.04565
42,1464956756430036,41,3.04546,0,3.01323,0,14,-2662.32,fixation,3.04546,3.01323
42,1464956756446661,41,3.00116,0,3.01857,0,14,-2645.695,fixation,3.00116,3.01857
42,1464956756463284,41,2.99637,0,3.00996,0,14,-2629.072,fixation,2.99637,3.00996
42,1464956756480034,41,3.02563,0,3.04338,0,14,-2612.322,fixation,3.02563,3.04338
42,1464956756496657,41,3.04366,0,3.02834,0,14,-2595.699,fixation,3.04366,3.02834
42,1464956756513282,41,3.04066,0,2.97621,0,14,-2579.074,fixation,3.04066,2.97621
42,1464956756529906,41,3.01299,0,3.02301,0,14,-2562.45,fixation,3.01299,3.02301
42,1464956756546530,41,3.00238,0,3.01845,0,14,-2545.826,fixation,3.00238,3.01845
42,1464956756563279,41,2.98764,0,3.02336,0,14,-2529.077,fixation,2.98764,3.02336
42,1464956756579904,41,2.99734,0,3.01233,0,14,-2512.452,fixation,2.99734,3.01233
42,1464956756596527,41,3.0127,0,2.97913,0,14,-2495.829,fixation,3.0127,2.97913
42,1464956756613149,41,2.9958,0,3.01556,0,14,-2479.2070000000003,fixation,2.9958,3.01556
42,1464956756629898,41,3.01447,0,3.0322,0,14,-2462.458,fixation,3.01447,3.0322
42,1464956756646522,41,2.98357,0,3.02213,0,14,-2445.8340000000003,fixation,2.98357,3.02213
42,1464956756663146,41,2.95895,0,2.98006,0,14,-2429.21,fixation,2.95895,2.98006
42,1464956756679770,41,2.97762,0,2.97365,0,14,-2412.5860000000002,fixation,2.97762,2.97365
42,1464956756696394,41,2.96623,0,2.96863,0,14,-2395.962,fixation,2.96623,2.96863
42,1464956756713144,41,2.90936,0,2.99524,0,14,-2379.212,fixation,2.90936,2.99524
42,1464956756729767,41,2.93462,0,2.94778,0,14,-2362.589,fixation,2.93462,2.94778
42,1464956756746392,41,2.94554,0,2.97191,0,14,-2345.964,fixation,2.94554,2.97191
42,1464956756763015,41,2.92523,0,2.9377,0,14,-2329.3410000000003,fixation,2.92523,2.9377
42,1464956756779765,41,2.93748,0,2.94241,0,14,-2312.5910000000003,fixation,2.93748,2.94241
42,1464956756796386,41,2.95403,0,2.93529,0,14,-2295.9700000000003,fixation,2.95403,2.93529
42,1464956756813011,41,2.89799,0,2.95026,0,14,-2279.3450000000003,fixation,2.89799,2.95026
42,1464956756829634,41,2.89635,0,2.92191,0,14,-2262.722,fixation,2.89635,2.92191
42,1464956756846384,41,2.90894,0,2.93585,0,14,-2245.972,fixation,2.90894,2.93585
42,1464956756863007,41,2.90472,0,2.94786,0,14,-2229.349,fixation,2.90472,2.94786
42,1464956756879644,41,2.93878,0,2.94597,0,14,-2212.712,fixation,2.93878,2.94597
42,1464956756896256,41,2.93263,0,2.97934,0,14,-2196.1000000000004,fixation,2.93263,2.97934
42,1464956756912880,41,2.93137,0,2.957,0,14,-2179.476,fixation,2.93137,2.957
42,1464956756929629,41,2.89992,0,2.95886,0,14,-2162.7270000000003,fixation,2.89992,2.95886
42,1464956756946253,41,2.95309,0,2.98251,0,14,-2146.103,fixation,2.95309,2.98251
42,1464956756962877,41,2.96878,0,2.99084,0,14,-2129.4790000000003,fixation,2.96878,2.99084
42,1464956756979499,41,2.922,0,3.00694,0,14,-2112.857,fixation,2.922,3.00694
42,1464956756996248,41,2.95068,0,2.98325,0,14,-2096.108,fixation,2.95068,2.98325
42,1464956757012873,41,2.94875,0,2.99287,0,14,-2079.483,fixation,2.94875,2.99287
42,1464956757029496,41,2.95438,0,2.9942,0,14,-2062.86,fixation,2.95438,2.9942
42,1464956757046120,41,2.98145,0,3.03189,0,14,-2046.2360000000003,fixation,2.98145,3.03189
42,1464956757062744,41,2.97209,0,3.01346,0,14,-2029.612,fixation,2.97209,3.01346
42,1464956757079493,41,2.94905,0,3.00931,0,14,-2012.8630000000003,fixation,2.94905,3.00931
42,1464956757096117,41,2.93469,0,2.98911,0,14,-1996.239,fixation,2.93469,2.98911
42,1464956757112742,41,2.95134,0,3.03444,0,14,-1979.614,fixation,2.95134,3.03444
42,1464956757129368,41,2.99149,0,3.04764,0,14,-1962.9880000000003,fixation,2.99149,3.04764
42,1464956757146115,41,2.96422,0,2.99174,0,14,-1946.241,fixation,2.96422,2.99174
42,1464956757162736,41,2.99448,0,3.01074,0,14,-1929.6200000000003,fixation,2.99448,3.01074
