timestamp,event,pupil_left,pupil_right,validity_left,validity_right
536662.553,fixation,3.067155,3.125271,0,0
536679.18,fixation,3.053328,3.142916,0,0
536695.806,fixation,3.06554,3.140767,0,0
536712.432,fixation,3.029542,3.163932,0,0
536729.19,fixation,2.971832,3.166408,0,0
536745.811,fixation,3.04988,3.17603,0,0
536762.438,fixation,3.02454,3.144992,0,0
536779.069,fixation,3.059459,3.163581,0,0
536795.694,fixation,2.985255,3.162787,0,0
536812.44,fixation,2.998467,3.17062,0,0
536829.078,fixation,3.034421,3.124864,0,0
536845.693,fixation,2.999205,3.074799,0,0
536862.319,fixation,2.991508,3.118822,0,0
536879.079,fixation,3.023872,3.135321,0,0
536895.696,fixation,3.016296,3.155328,0,0
536912.337,fixation,2.985765,3.050697,0,0
536928.95,fixation,2.994473,3.104282,0,0
536945.701,fixation,3.010212,3.093136,0,0
536962.326,fixation,2.994447,3.129709,0,0
536978.948,fixation,2.972509,3.094997,0,0
536995.579,fixation,2.958506,3.13033,0,0
537012.211,fixation,2.99417,3.146759,0,0
537028.956,fixation,3.023621,3.138515,0,0
537045.589,fixation,2.948809,3.122572,0,0
537062.209,fixation,2.989182,3.154117,0,0
537078.843,fixation,3.011214,3.14482,0,0
537095.588,fixation,3.032687,3.08227,0,0
537112.22,fixation,2.97322,3.164932,0,0
537128.841,fixation,2.982388,3.119306,0,0
537145.471,fixation,3.015045,3.102181,0,0
537162.092,fixation,2.998367,3.094206,0,0
537178.849,fixation,2.999652,3.08927,0,0
537195.476,fixation,3.028774,3.091338,0,0
537212.102,fixation,2.999777,3.149166,0,0
537228.723,fixation,2.968817,3.140546,0,0
537245.473,fixation,2.990891,3.123608,0,0
537262.114,fixation,3.000373,3.073274,0,0
537278.729,fixation,2.940832,3.074001,0,0
537295.356,fixation,2.990199,3.114934,0,0
537311.975,fixation,2.954738,3.10774,0,0
537328.732,fixation,2.935514,3.070814,0,0
537345.356,fixation,2.927701,3.071335,0,0
537361.983,fixation,2.915295,3.075836,0,0
537378.609,fixation,2.936332,3.045475,0,0
537395.36,fixation,2.947269,3.062421,0,0
537411.987,fixation,2.912951,3.072549,0,0
537428.615,fixation,2.969936,3.076345,0,0
537445.241,fixation,2.954651,3.065993,0,0
537461.872,fixation,2.887661,3.02658,0,0
537478.618,fixation,2.96794,3.032321,0,0
537495.244,fixation,2.956216,3.010729,0,0
537511.869,fixation,2.921209,3.089326,0,0
537528.501,fixation,2.912275,3.050299,0,0
537545.247,fixation,2.940868,3.074753,0,0
537561.88,fixation,2.960434,3.075235,0,0
537578.501,fixation,2.931145,3.047768,0,0
537595.133,fixation,2.979461,3.043873,0,0
537611.752,fixation,2.951413,3.059449,0,0
537628.504,fixation,2.988577,3.079637,0,0
