timestamp,event,pupil_left,pupil_right,validity_left,validity_right
260483.902,fixation,3.148734,2.917195,0,0
260500.654,fixation,3.136528,2.889125,0,0
260517.28,fixation,3.129998,2.933002,0,0
260533.906,fixation,3.072025,2.906606,0,0
260550.533,fixation,3.108228,2.925761,0,0
260567.16,fixation,3.106864,2.965954,0,0
260583.912,fixation,3.09171,2.895956,0,0
260600.538,fixation,3.06369,2.921468,0,0
260617.165,fixation,3.057135,2.868659,0,0
260633.791,fixation,3.081449,2.931668,0,0
260650.541,fixation,3.133088,2.924146,0,0
260667.167,fixation,3.131663,2.959111,0,0
260683.797,fixation,3.076978,2.924759,0,0
260700.419,fixation,3.081064,2.904938,0,0
260717.046,fixation,3.07842,2.927718,0,0
260733.797,fixation,3.105094,2.895466,0,0
260750.424,fixation,3.125501,2.913314,0,0
260767.05,fixation,3.102,2.895223,0,0
260783.677,fixation,3.095053,2.928685,0,0
260800.428,fixation,3.122643,2.936258,0,0
260817.055,fixation,3.088713,2.942029,0,0
260833.679,fixation,3.133699,2.929321,0,0
260850.306,fixation,3.15635,2.952949,0,0
260867.057,fixation,3.173334,2.965856,0,0
260883.684,fixation,3.124878,2.976397,0,0
260900.31,fixation,3.139187,2.945642,0,0
260916.936,fixation,3.132888,2.974671,0,0
260933.564,fixation,3.158605,2.96047,0,0
260950.315,fixation,3.161728,2.969067,0,0
260966.95,fixation,3.1412,2.952633,0,0
260983.568,fixation,3.141313,2.915917,0,0
261000.195,fixation,3.159038,2.939504,0,0
261016.944,fixation,3.150984,2.931134,0,0
261033.571,fixation,3.132416,2.970252,0,0
261050.197,fixation,3.193175,2.944033,0,0
261066.823,fixation,3.166296,2.959706,0,0
261083.449,fixation,3.178129,2.953464,0,0
261100.201,fixation,3.169317,3.005246,0,0
261116.828,fixation,3.174919,3.016016,0,0
261133.455,fixation,3.162936,2.980372,0,0
261150.081,fixation,3.159989,2.956814,0,0
261166.833,fixation,3.198266,3.003895,0,0
